A,B,C
161.5690466574168,80.91988970743343,115.74670588664324
165.29747002594135,80.04109570974413,115.27045525855861
168.39337261997287,80.37508931584658,122.85670277645252
176.3141282664391,78.27778026177263,124.03536121110339
177.20170816647496,80.902035611947,124.68681344808601
177.8571033420925,79.99340220218951,129.89809250395592
178.20686995938243,80.31668796020466,132.9177441686586
180.62457534882049,81.39607128888893,133.23558554878144
183.04405846379268,81.88673959190145,140.15852553319093
184.6778933255217,82.59520984424657,140.0785423621252
